instant,heading,roll,pitch
15.284,2.129241,-0.124645,0.008188
15.384,2.124486,-0.127275,-0.01063
15.485,2.117315,-0.132569,-0.038384
15.584,2.107889,-0.139226,-0.068058
15.683,2.096182,-0.144092,-0.093821
15.783,2.084445,-0.142831,-0.11483
15.884,2.07214,-0.132087,-0.126209
15.983,2.064332,-0.102264,-0.124739
16.083,2.057747,-0.087007,-0.112436
16.183,2.052834,-0.072791,-0.097816
16.285,2.050603,-0.056081,-0.083855
16.384,2.050599,-0.04309,-0.06443
16.482,2.058795,-0.042089,-0.043805
16.582,2.059861,-0.039508,-0.017495
16.682,2.063508,-0.034513,0.00314
16.783,2.06816,-0.029432,0.021558
16.882,2.073692,-0.030044,0.032338
16.983,2.080011,-0.026956,0.036791
17.082,2.086703,-0.031572,0.034163
17.184,2.093337,-0.03594,0.022912
17.283,2.098351,-0.042164,0.005828
17.382,2.101048,-0.048576,-0.021354
17.483,2.101899,-0.055222,-0.048903
17.581,2.100469,-0.061246,-0.077197
17.681,2.09673,-0.067867,-0.108611
17.780,2.092148,-0.077021,-0.130638
17.882,2.085541,-0.086622,-0.152177
17.982,2.078425,-0.090344,-0.164059
18.081,2.071397,-0.09068,-0.171336
18.181,2.064353,-0.09193,-0.166545
18.281,2.059201,-0.090698,-0.13637
18.380,2.059057,-0.087793,-0.082213
18.482,2.064057,-0.08136,-0.029291
18.581,2.07033,-0.084368,-0.001955
18.681,2.077402,-0.090738,0.021571
18.783,2.083695,-0.106031,0.031038
18.880,2.089732,-0.117981,0.029087
18.983,2.093248,-0.126123,0.022922
19.081,2.09628,-0.136461,0.01516
19.180,2.098513,-0.142349,-0.003074
19.279,2.098897,-0.151151,-0.021149
19.379,2.097795,-0.15541,-0.038624
19.479,2.09539,-0.153931,-0.049517
19.579,2.093256,-0.157257,-0.054082
19.680,2.09018,-0.153901,-0.057143
19.780,2.085666,-0.143771,-0.06564
19.880,2.082499,-0.126991,-0.074391
19.980,2.079913,-0.109195,-0.080637
20.080,2.078472,-0.092493,-0.081831
20.179,2.076685,-0.082354,-0.083117
20.279,2.075471,-0.070883,-0.078909
20.381,2.077016,-0.058143,-0.066993
20.480,2.080656,-0.044773,-0.045192
20.579,2.085365,-0.03688,-0.024405
20.679,2.090289,-0.034008,-0.0135
20.779,2.095427,-0.034482,-0.005938
20.878,2.099876,-0.038998,-0.00516
20.978,2.104188,-0.041234,-0.012465
21.079,2.108984,-0.047331,-0.022835
21.178,2.112574,-0.056332,-0.031741
21.278,2.115623,-0.062043,-0.047847
21.378,2.117866,-0.069594,-0.062676
21.477,2.119529,-0.072322,-0.083234
21.578,2.121497,-0.073953,-0.090891
21.677,2.124581,-0.066237,-0.088254
21.778,2.130885,-0.059753,-0.078174
21.878,2.134418,-0.066389,-0.073426
21.978,2.135987,-0.078542,-0.067014
22.077,2.137724,-0.086335,-0.057248
22.178,2.140731,-0.092133,-0.048795
22.277,2.143014,-0.10078,-0.039852
22.378,2.143945,-0.11462,-0.032323
22.477,2.143407,-0.130137,-0.031343
22.576,2.142514,-0.147256,-0.033449
22.677,2.140869,-0.158903,-0.034232
22.777,2.139384,-0.163333,-0.035707
22.881,2.139076,-0.162313,-0.040099
22.976,2.140553,-0.159899,-0.045228
23.076,2.141555,-0.163576,-0.048133
23.176,2.142621,-0.15938,-0.049369
23.280,2.14568,-0.151485,-0.045928
23.376,2.148137,-0.146991,-0.052925
23.476,2.149113,-0.147343,-0.061048
23.576,2.149721,-0.138854,-0.070167
23.677,2.149285,-0.132234,-0.078568
23.783,2.148042,-0.127931,-0.076705
23.875,2.147539,-0.124884,-0.055259
23.975,2.148145,-0.122052,-0.0223
24.078,2.14952,-0.116314,0.00517
24.175,2.153329,-0.110765,0.025214
24.277,2.157169,-0.112846,0.034741
24.375,2.160375,-0.119029,0.035157
24.475,2.162859,-0.112003,0.024209
24.575,2.164836,-0.101163,0.007175
24.674,2.165846,-0.092133,-0.014652
24.774,2.16585,-0.085045,-0.040825
24.874,2.162397,-0.078844,-0.068848
24.975,2.157767,-0.074334,-0.09333
25.074,2.152007,-0.064256,-0.114676
25.174,2.143487,-0.054739,-0.140176
25.273,2.135634,-0.040264,-0.154016
25.375,2.12801,-0.037547,-0.149346
25.474,2.123365,-0.033466,-0.119834
25.574,2.122323,-0.031131,-0.075701
25.674,2.124426,-0.029688,-0.027465
25.774,2.12797,-0.033905,0.007484
25.874,2.131302,-0.043411,0.024549
25.973,2.134249,-0.055633,0.029362
26.074,2.138159,-0.062577,0.030759
26.173,2.142057,-0.078526,0.032094
26.274,2.145047,-0.092983,0.019283
26.374,2.145689,-0.118185,-0.004621
26.471,2.145511,-0.131128,-0.024233
26.573,2.143327,-0.143542,-0.046335
26.675,2.142209,-0.137482,-0.063271
26.772,2.14236,-0.127765,-0.076316
26.873,2.14268,-0.119373,-0.087932
26.972,2.143966,-0.110937,-0.088999
27.072,2.146042,-0.094925,-0.083084
27.173,2.147675,-0.083227,-0.07192
27.272,2.149818,-0.075899,-0.066851
27.373,2.151869,-0.07301,-0.063984
27.472,2.15339,-0.074486,-0.058983
27.572,2.15422,-0.079217,-0.050534
27.671,2.154818,-0.090679,-0.046533
27.771,2.154012,-0.104375,-0.045988
27.871,2.15296,-0.119018,-0.044815
27.971,2.151583,-0.135633,-0.044788
28.072,2.150347,-0.14632,-0.04292
28.171,2.159691,-0.151775,-0.043052
28.270,2.159747,-0.154343,-0.045598
28.371,2.159976,-0.162188,-0.048932
28.470,2.160325,-0.16943,-0.049476
28.570,2.163997,-0.171082,-0.046932
28.670,2.169944,-0.168794,-0.045535
28.772,2.177025,-0.15881,-0.047469
28.870,2.18596,-0.153322,-0.044174
28.970,2.204543,-0.145501,-0.048323
29.070,2.211587,-0.141772,-0.053414
29.170,2.217071,-0.136232,-0.061983
29.270,2.222107,-0.131255,-0.067928
29.370,2.224877,-0.136529,-0.068111
29.470,2.224,-0.151119,-0.061954
29.569,2.223107,-0.15544,-0.052388
29.672,2.219634,-0.165057,-0.053257
29.770,2.214887,-0.171732,-0.052894
29.870,2.20954,-0.180314,-0.050791
29.970,2.203916,-0.178367,-0.053517
30.070,2.198793,-0.180141,-0.050853
30.169,2.19639,-0.170112,-0.042318
30.270,2.19658,-0.160367,-0.037841
30.369,2.19641,-0.155281,-0.038031
30.469,2.195951,-0.147853,-0.039227
30.568,2.193937,-0.141432,-0.04432
30.669,2.190893,-0.13923,-0.047159
30.768,2.187021,-0.141396,-0.050694
30.867,2.183889,-0.136146,-0.04891
30.968,2.18089,-0.136274,-0.048645
31.067,2.177967,-0.133575,-0.05244
31.167,2.175259,-0.132191,-0.051926
31.267,2.173154,-0.132297,-0.044608
31.367,2.171574,-0.125795,-0.045295
31.467,2.169148,-0.116575,-0.050483
31.567,2.167306,-0.108941,-0.057207
31.668,2.166673,-0.100825,-0.059853
31.771,2.166622,-0.097294,-0.065274
31.867,2.165763,-0.094564,-0.066999
31.968,2.166743,-0.089579,-0.052314
32.068,2.169332,-0.085358,-0.029507
32.167,2.174173,-0.089918,-0.010201
32.267,2.176723,-0.105853,-0.006866
32.367,2.17824,-0.121668,-0.003023
32.467,2.178738,-0.132897,-0.010414
32.565,2.177703,-0.145757,-0.022151
32.667,2.17539,-0.160017,-0.037388
32.766,2.172561,-0.169881,-0.051705
32.867,2.169262,-0.171157,-0.063044
32.967,2.166913,-0.168082,-0.077922
33.065,2.165016,-0.155057,-0.090569
33.168,2.164592,-0.148026,-0.094087
33.266,2.165243,-0.139656,-0.083524
33.366,2.167497,-0.130751,-0.06452
33.468,2.172747,-0.122383,-0.043269
33.567,2.181169,-0.120469,-0.014163
33.665,2.189931,-0.124805,0.003986
33.765,2.198658,-0.126965,0.008759
33.873,2.205219,-0.129767,-0.0028
33.966,2.209094,-0.139619,-0.022126
34.063,2.210842,-0.151525,-0.039982
34.166,2.210521,-0.162795,-0.056314
34.265,2.209179,-0.17037,-0.074867
34.365,2.204203,-0.182524,-0.102464
34.465,2.195476,-0.200619,-0.119601
34.564,2.185967,-0.20658,-0.122868
34.665,2.177736,-0.212934,-0.108391
34.763,2.172341,-0.208445,-0.086814
34.865,2.173064,-0.186573,-0.0621
34.965,2.178939,-0.164734,-0.037479
35.064,2.183081,-0.173031,-0.024423
35.164,2.188604,-0.168965,-0.013885
35.263,2.194964,-0.16132,-0.012928
35.363,2.201963,-0.152925,-0.012139
35.463,2.209224,-0.1589,-0.013883
35.563,2.215769,-0.163507,-0.016253
35.663,2.220298,-0.172855,-0.026227
35.763,2.224736,-0.174934,-0.03124
35.863,2.226844,-0.187389,-0.039133
35.962,2.228858,-0.17913,-0.046206
36.062,2.228828,-0.175821,-0.057124
36.162,2.228743,-0.177734,-0.064626
36.262,2.227434,-0.179998,-0.064381
36.361,2.225678,-0.178733,-0.060413
36.462,2.225772,-0.174607,-0.056193
36.564,2.226603,-0.175931,-0.05076
36.663,2.227622,-0.174675,-0.041107
36.762,2.230238,-0.161536,-0.033722
36.862,2.232113,-0.153146,-0.038766
36.961,2.233104,-0.14294,-0.050697
37.061,2.233506,-0.138044,-0.062164
37.161,2.232058,-0.139123,-0.073975
37.261,2.227216,-0.14457,-0.084761
37.360,2.221504,-0.149897,-0.081676
37.463,2.216893,-0.152508,-0.06067
37.562,2.212574,-0.159909,-0.043436
37.660,2.20906,-0.156754,-0.033129
37.760,2.206586,-0.148822,-0.027946
37.861,2.204287,-0.142452,-0.02352
37.961,2.202141,-0.132693,-0.03185
38.061,2.199155,-0.131886,-0.042893
38.161,2.194581,-0.134245,-0.06023
38.261,2.189079,-0.130268,-0.067289
38.361,2.184352,-0.120645,-0.067883
38.460,2.181468,-0.113325,-0.059672
38.560,2.180925,-0.104165,-0.040126
38.664,2.182219,-0.090271,-0.018244
38.759,2.187436,-0.079878,0.004996
38.863,2.192171,-0.081955,0.00919
38.959,2.195691,-0.084592,0.004557
39.059,2.198653,-0.093123,0.00043
39.160,2.201745,-0.092061,-0.0083
39.259,2.20364,-0.095058,-0.018353
39.360,2.206254,-0.092397,-0.02834
39.458,2.207565,-0.103245,-0.039926
39.558,2.208738,-0.110143,-0.039721
39.657,2.209779,-0.115209,-0.043227
39.759,2.212059,-0.111594,-0.037896
39.859,2.214938,-0.114613,-0.034346
39.958,2.219225,-0.104794,-0.027583
40.058,2.219304,-0.106675,-0.052396
40.160,2.216973,-0.11066,-0.07185
40.257,2.213682,-0.117796,-0.081956
40.356,2.208861,-0.129359,-0.089738
40.458,2.201001,-0.144209,-0.106203
40.557,2.19225,-0.158876,-0.109497
40.662,2.183692,-0.163021,-0.09764
40.761,2.179745,-0.154209,-0.078519
40.857,2.178095,-0.131127,-0.072251
40.957,2.176859,-0.118963,-0.07024
41.057,2.173981,-0.124254,-0.070941
41.157,2.169888,-0.121765,-0.068317
41.257,2.164121,-0.11982,-0.067164
41.357,2.158206,-0.122227,-0.061465
41.456,2.151932,-0.122769,-0.040838
41.557,2.150135,-0.111659,-0.00517
41.657,2.152635,-0.094626,0.027016
41.757,2.157252,-0.090808,0.051284
41.858,2.162545,-0.085806,0.060367
41.958,2.166137,-0.083964,0.058711
42.056,2.16888,-0.083073,0.043055
42.158,2.168741,-0.083768,0.019884
42.255,2.165616,-0.086902,-0.010161
42.354,2.160989,-0.085894,-0.041641
42.455,2.153197,-0.080374,-0.077511
42.556,2.145135,-0.077537,-0.104552
42.655,2.136055,-0.069426,-0.125041
42.755,2.12804,-0.056656,-0.134851
42.855,2.120697,-0.041521,-0.139406
42.956,2.115411,-0.032815,-0.130778
43.056,2.112372,-0.023518,-0.120415
43.167,2.109411,-0.019659,-0.098685
43.255,2.108445,-0.010386,-0.071029
43.355,2.110039,-0.003999,-0.039866
43.455,2.112902,-0.006665,-0.020448
43.555,2.11668,-0.008645,0.006283
43.654,2.120526,-0.009842,0.020159
43.756,2.124296,-0.01386,0.025771
43.854,2.127231,-0.023301,0.027966
43.954,2.129223,-0.03086,0.026244
44.054,2.129982,-0.03989,0.016482
44.153,2.130582,-0.045054,0.000553
44.253,2.1303,-0.050623,-0.020739
44.353,2.129291,-0.052977,-0.040772
44.453,2.127933,-0.057848,-0.063453
44.553,2.123918,-0.063419,-0.089145
44.653,2.118148,-0.072249,-0.112312
44.753,2.110459,-0.079957,-0.132206
44.851,2.101898,-0.086862,-0.146293
44.953,2.091968,-0.098415,-0.148194
45.052,2.080143,-0.113675,-0.134566
45.153,2.069432,-0.126486,-0.099788
45.255,2.062934,-0.123496,-0.058398
45.352,2.057732,-0.119667,-0.029885
45.452,2.055184,-0.116944,-0.004815
45.551,2.054857,-0.11364,0.012892
45.651,2.057351,-0.10589,0.031765
45.752,2.061106,-0.100112,0.040236
45.851,2.065856,-0.092793,0.0378
45.951,2.070869,-0.090223,0.028264
46.051,2.076931,-0.076391,0.020991
46.152,2.082112,-0.067241,0.00126
46.251,2.084929,-0.065314,-0.021025
46.351,2.085962,-0.062164,-0.045037
46.451,2.085977,-0.066852,-0.066472
46.550,2.08373,-0.071694,-0.089242
46.651,2.080115,-0.07519,-0.107309
46.751,2.075428,-0.079328,-0.121566
46.849,2.071183,-0.081553,-0.123126
46.949,2.068073,-0.082205,-0.11051
47.050,2.06683,-0.081236,-0.089703
47.148,2.067636,-0.076704,-0.063224
47.249,2.071664,-0.064136,-0.045373
47.349,2.07634,-0.05563,-0.035353
47.449,2.081304,-0.053179,-0.028461
47.549,2.085884,-0.055575,-0.025548
47.649,2.089137,-0.057931,-0.033459
47.748,2.091781,-0.065945,-0.041721
47.849,2.093038,-0.072484,-0.048127
47.949,2.093516,-0.078646,-0.051853
48.047,2.093413,-0.087726,-0.051181
48.149,2.091901,-0.100069,-0.045349
48.250,2.09073,-0.109865,-0.031775
48.350,2.090883,-0.119982,-0.016113
